Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
int;1;S-17.36;S83.21;S55.34;S-91.47;S-90.76;S8.06;S-6.89;S-16.63;S21.14;S1.45;S8.4;S124.0;S65.63;S-31.78;S-98.42;S-44.09;S-25.89;S-74.34;S-19.21;S14.55;S4.44;S-20.7;S6.73;S8.13;S123.3;S64.92;S4.79;S38.55;S23.78
ext;1;S-28.26;S83.38;S-48.92;S-71.87;S-90.76;S8.94;S-8.06;S-16.63;S21.14;S0.92;S9.54;S124.09;S65.63;S-34.07;S-94.99;S2.68;S-7.43;S-74.34;S-61.44;S16.4;S4.7;S-20.7;S7.43;S9.36;S123.38;S64.92;S-5.67;S44.26;S-26.59
int;1;S-17.36;S83.21;S55.34;S-91.47;S-90.76;S8.06;S-6.89;S-16.63;S21.14;S1.45;S8.4;S124.0;S65.63;S-31.78;S-98.42;S-44.09;S-25.89;S-74.34;S-19.21;S14.55;S4.44;S-20.7;S6.73;S8.13;S123.3;S64.92;S4.79;S38.55;S23.78
ext;1;S-28.26;S83.38;S-48.92;S-71.87;S-90.76;S8.94;S-8.06;S-16.63;S21.14;S0.92;S9.54;S124.09;S65.63;S-34.07;S-94.99;S2.68;S-7.43;S-74.34;S-61.44;S16.4;S4.7;S-20.7;S7.43;S9.36;S123.38;S64.92;S-5.67;S44.26;S-26.59
int;1;S-17.36;S83.21;S55.34;S-91.47;S-90.76;S8.06;S-6.89;S-16.63;S21.14;S1.45;S8.4;S124.0;S65.63;S-31.78;S-98.42;S-44.09;S-25.89;S-74.34;S-19.21;S14.55;S4.44;S-20.7;S6.73;S8.13;S123.3;S64.92;S4.79;S38.55;S23.78
ext;1;S-28.26;S83.38;S-48.92;S-71.87;S-90.76;S8.94;S-8.06;S-16.63;S21.14;S0.92;S9.54;S124.09;S65.63;S-34.07;S-94.99;S2.68;S-7.43;S-74.34;S-61.44;S16.4;S4.7;S-20.7;S7.43;S9.36;S123.38;S64.92;S-5.67;S44.26;S-26.59
k assis;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
