Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
garde;1.0;S-35.47;S99.74;S33.54;S-29.05;S-120.09;S-63.2;S-9.53;S8.59;S20.18;S7.52;S8.31;P;S65.27;S-23.69;S-96.66;S-41.1;S-46.46;S-27.13;S-53.81;S15.08;S5.05;S-19.91;S6.11;S7.34;P;S64.22;S-1.1;S42.59;S-1.27
defence;0.5;S-91.91;S30.46;S46.46;S-84.44;S-51.17;S-54.4;S-38.56;S-8.12;S21.32;S7.43;S13.14;P;S65.8;S-50.77;S-94.99;S-26.07;S-98.95;S-61.73;S-50.88;S18.77;S1.01;S-20.88;S11.03;S11.74;P;S64.31;S-4.0;S46.99;S15.87
defence;0.5;S-101.76;S28.0;S46.64;S-92.88;S-52.93;S-77.57;S-39.15;S-8.71;S21.32;S6.9;S12.79;P;S65.8;S-50.51;S-95.43;S-26.15;S-99.74;S-62.9;S-51.17;S15.34;S1.27;S-20.88;S9.98;S11.47;P;S64.31;S-3.56;S46.2;S16.13
