Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
4 pattes mains;1;S-95.96;S97.96;S-3.21;S-10.42;M;M;S-10.12;S20.32;S7.08;S18.42;S-46.81;S118.81;Z;S-116.79;S-89.69;S-13.14;S-0.13;M;M;S48.75;S-22.37;S-12.35;S-19.38;S-46.9;S119.34;Z;S2.59;S32.57;S-17.45
toto;1;L-96.48;S90.95;S-3.3;S-20.35;M;M;S-8.94;S8.3;S13.41;S12.35;L-26.33;S123.74;Z;L-116.79;S-86.46;S-13.23;S-13.67;M;M;L50.95;S-19.12;S-23.34;S-17.1;L-23.6;S123.38;Z;S3.74;L51.03;S-17.98
toto;1;L-96.04;S90.51;S-3.3;S-20.26;M;M;S-11.58;S13.28;S18.15;S12.44;L-21.05;S124.35;Z;L-111.96;S-87.08;S-13.05;S-13.14;M;M;L51.91;S-16.22;S-22.9;S-15.25;L-18.15;S123.47;Z;S5.32;L51.12;S-17.98
toto;1;L-103.96;S98.68;S-3.3;S-0.31;M;M;S-11.29;S14.16;S21.41;S7.96;L-6.11;S124.7;Z;L-107.3;S-91.38;S-13.05;S-9.54;M;M;L53.14;S0.13;S-23.52;S-7.08;L-4.44;S123.74;Z;S5.23;L51.12;S-10.86
toto;1;L-97.63;S95.69;S-3.38;S0.13;M;M;S-11.58;S13.58;S20.44;S2.59;L7.6;S124.62;Z;L-103.25;S-94.29;S-13.05;S-2.15;M;M;L53.14;S-0.75;S-23.34;S-0.04;L8.57;S124.0;Z;S3.12;L51.12;S-9.1
toto;1;L-108.97;S96.55;S-3.3;S2.77;M;M;S-11.29;S14.75;S15.43;S1.89;L17.8;S119.08;Z;L-112.04;S-93.91;S-12.44;S1.36;M;M;L67.21;S0.57;S-27.91;S-2.24;L17.36;S119.87;Z;S0.57;L52.18;S-8.04
toto;1;L-107.74;S96.02;S-3.21;S2.77;M;M;S-11.29;S14.75;S15.52;S-0.04;L22.99;S119.16;Z;L-108.7;S-93.65;S-7.16;S1.36;M;M;L67.21;S0.66;S-27.91;S0.13;L22.55;S119.78;Z;S0.66;L52.26;S-7.87
toto;1;L-82.86;S100.95;S-3.03;S-17.54;M;M;S-10.41;S14.75;S16.92;S-1.19;L25.89;S118.99;Z;L-95.43;S-90.04;S-9.54;S-1.89;M;M;L67.3;S0.66;S-27.91;S1.1;L25.45;S119.78;Z;S0.0;L52.18;S-5.76
toto;1;L-77.49;S98.13;S-3.03;S1.98;M;M;S-10.41;S14.75;S16.92;S-1.71;L27.03;S118.9;Z;L-79.69;S-90.31;S0.13;S1.36;M;M;L51.82;S1.36;S-27.47;S2.07;L25.98;S119.78;Z;S0.0;L51.82;S-6.46
toto;1;L-61.93;S97.6;S-6.11;S-12.7;M;M;S-10.41;S14.75;S23.6;S3.91;L28.53;S115.65;Z;L-72.4;S-93.38;S6.37;S1.45;M;M;L48.66;S3.21;S-18.24;S6.29;L20.44;S119.78;Z;S0.0;L44.79;S-2.07
assis sur genou;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;Z;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;Z;S0.0;S43.0;S-1.1
