Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k sit;1.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
k angle droit;2.0;S-81.36;S-3.32;S-7.43;S0.31;S15.1;S5.72;S-6.01;S25.01;S22.64;S-16.57;S6.81;S120.04;S65.54;S-86.81;S-87.58;S2.86;S-2.77;S-4.55;S15.1;S40.04;S0.48;S-24.22;S16.66;S8.04;S120.04;S64.13;S-2.33;S47.16;S1.89
k angle droit;5.0;S-81.36;S-3.32;S-7.43;S0.31;S15.1;S5.72;S-6.01;S25.01;S22.64;S-16.57;S6.81;S120.04;S65.54;S-86.81;S-87.58;S2.86;S-2.77;S-4.55;S15.1;S40.04;S0.48;S-24.22;S16.66;S8.04;S120.04;S64.13;S-2.33;S47.16;S1.89
k sit;2.0;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
